"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Steven Fletcher","Mid-Season","Attacker","Scotland","Sunderland","Marseille","Loan",0,"ROE","15/16"
"Remy Cabella","Pre-Season","Midfielder","France","Newcastle","Marseille","Loan",0,"ROE","15/16"
"Mauricio Isla","Pre-Season","Defender","Chile","Juventus","Marseille","Loan",0,"ROE","15/16"
"Paolo De Ceglie","Pre-Season","Defender","Italy","Juventus","Marseille","Loan",0,"ROE","15/16"
"Fabio Coentrao","Pre-Season","Defender","Portugal","Real Madrid","Monaco","Loan",0,"ROE","15/16"
"Stephan El Shaarawy","Pre-Season","Attacker","Italy","AC Milan","Monaco","Loan",0,"ROE","15/16"
"Helder Costa","Pre-Season","Midfielder","Portugal","Benfica","Monaco","Loan",0,"ROE","15/16"
"Mustapha Yatabare","Pre-Season","Attacker","Mali","Guingamp","Montpellier","Loan",0,"ROE","15/16"
"Matias Suarez","Mid-Season","Attacker","Argentina","Anderlecht","Nantes","Loan",0,"ROE","15/16"
"Ricardo Pereira","Pre-Season","Midfielder","Portugal","Porto","Nice","Loan",0,"ROE","15/16"
"Marco van Ginkel","Mid-Season","Midfielder","Netherlands","Chelsea","PSV Eindhoven","Loan",0,"ROE","15/16"
"Aly Cissokho","Pre-Season","Defender","France","Aston Villa","Porto","Loan",0,"ROE","15/16"
"Miguel Layun","Pre-Season","Defender","Mexico","Watford","Porto","Loan",0,"ROE","15/16"
"Lass Bangoura","Mid-Season","Attacker","Guinea","Rayo Vallecano","Reims","Loan",0,"ROE","15/16"
"Abdelhamid El Kaoutari","Mid-Season","Defender","Morocco","Palermo","Reims","Loan",0,"ROE","15/16"
"Juan Quintero","Pre-Season","Midfielder","Colombia","Porto","Rennes","Loan",0,"ROE","15/16"
"Jeremie Boga","Pre-Season","Attacker","France","Chelsea","Rennes","Loan",0,"ROE","15/16"
"Jean-Christophe Bahebeck","Pre-Season","Attacker","France","PSG","Saint Etienne","Loan",0,"ROE","15/16"
"Franck Tabanou","Mid-Season","Defender","France","Swansea","Saint Etienne","Loan",0,"ROE","15/16"
"Sebastian Coates","Mid-Season","Defender","Uruguay","Sunderland","Sporting CP","Loan",0,"ROE","15/16"
"Marko Marin","Pre-Season","Midfielder","Germany","Chelsea","Trabzonspor","Loan",0,"ROE","15/16"
"Bruno Uvini","Pre-Season","Defender","Brazil","Napoli","Twente","Loan",0,"ROE","15/16"
"Danilo Pantic","Pre-Season","Midfielder","Serbia","Chelsea","Vitesse","Loan",0,"ROE","15/16"
"Dominic Solanke","Pre-Season","Attacker","England","Chelsea","Vitesse Arnhem","Loan",0,"ROE","15/16"
"Mauricio","Mid-Season","Midfielder","Brazil","Terek","Zenit","Loan",0,"ROE","15/16"
"Tim Krul","Pre-Season","Goalkeeper","Netherlands","Newcastle","Ajax","Loan",0,"ROE","16/17"
"Danilo Barbosa","Pre-Season","Midfielder","Brazil","Sporting Braga","Benfica","Loan",0,"ROE","16/17"
"Caner Erkin","Pre-Season","Defender","Turkey","Inter Milan","Besiktas","Loan",0,"ROE","16/17"
"Jonas Gomes de Sousa","Pre-Season","Midfielder","Brazil","Flamengo","Dinamo Zagreb","Loan",0,"ROE","16/17"
"Moussa Sow","Pre-Season","Attacker","Senegal","Al Ahli","Fenerbahce","Loan",0,"ROE","16/17"
"Kolbeinn Sigthorsson","Pre-Season","Attacker","Iceland","Nantes","Galatasaray","Loan",0,"ROE","16/17"
"Clinton Njie","Pre-Season","Attacker","Cameroon","Tottenham","Marseille","Loan",0,"ROE","16/17"
"Aaron Leya Iseka","Pre-Season","Attacker","Belgium","Anderlecht","Marseille","Loan",0,"ROE","16/17"
"William Vainqueur","Pre-Season","Midfielder","France","Roma","Marseille","Loan",0,"ROE","16/17"
"Bafetimbi Gomis","Pre-Season","Attacker","France","Swansea","Marseille","Loan",0,"ROE","16/17"
"Younes Belhanda","Pre-Season","Midfielder","Morocco","Dynamo Kiev","Nice","Loan",0,"ROE","16/17"
"Anastasios Donis","Pre-Season","Attacker","Greece","Juventus","Nice","Loan",0,"ROE","16/17"
"Oliver Torres","Pre-Season","Midfielder","Spain","Atletico Madrid","Porto","Loan",0,"ROE","16/17"
"Paul Nardi","Pre-Season","Goalkeeper","France","Monaco","Rennes","Loan",0,"ROE","16/17"
"Lazar Markovic","Pre-Season","Midfielder","Serbia","Liverpool","Sporting CP","Loan",0,"ROE","16/17"
"Joel Campbell","Pre-Season","Attacker","Costa Rica","Arsenal","Sporting CP","Loan",0,"ROE","16/17"
"Arkadiusz Milik","Pre-Season","Attacker","Poland","Bayer Leverkusen","Ajax","Loan",0,"ROE","14/15"
"Marko Marin","Mid-Season","Midfielder","Germany","Chelsea","Anderlecht","Loan",0,"ROE","14/15"
"Rolando","Mid-Season","Defender","Portugal","Porto","Anderlecht","Loan",0,"ROE","14/15"
"Joao Rodriguez","Pre-Season","Attacker","Colombia","Chelsea","Bastia","Loan",0,"ROE","14/15"
"El-Hadji Ba","Pre-Season","Midfielder","France","Sunderland","Bastia","Loan",0,"ROE","14/15"
"Jonathan Rodriguez","Mid-Season","Attacker","Uruguay","Penarol","Benfica","Loan",0,"ROE","14/15"
"Daniel Opare","Mid-Season","Defender","Ghana","Porto","Besiktas","Loan",0,"ROE","14/15"
"Tiago Ilori","Pre-Season","Defender","Portugal","Liverpool","Bordeaux","Loan",0,"ROE","14/15"
"Wakaso Mubarak","Pre-Season","Midfielder","Ghana","Rubin Kazan","Celtic","Loan",0,"ROE","14/15"
"Aleksandar Tonev","Pre-Season","Attacker","Bulgaria","Aston Villa","Celtic","Loan",0,"ROE","14/15"
"John Guidetti","Pre-Season","Attacker","Sweden","Manchester City","Celtic","Loan",0,"ROE","14/15"
"Nicolas Blandi","Mid-Season","Attacker","Argentina","San Lorenzo","Evian","Loan",0,"ROE","14/15"
"Dany Nounkeu","Mid-Season","Defender","Cameroon","Galatasaray","Evian","Loan",0,"ROE","14/15"
"Roman Shirokov","Mid-Season","Midfielder","Russia","Spartak Moscow","FK Krasnodar","Loan",0,"ROE","14/15"
"Colin Kazim-Richards","Pre-Season","Attacker","Turkey","Bursaspor","Feyenoord","Loan",0,"ROE","14/15"
"Sylvain Marveaux","Pre-Season","Midfielder","France","Newcastle","Guingamp","Loan",0,"ROE","14/15"
"Divock Origi","Pre-Season","Attacker","Belgium","Liverpool","Lille","Loan",0,"ROE","14/15"
"Gianni Bruno","Mid-Season","Attacker","Belgium","Evian","Lorient","Loan",0,"ROE","14/15"
"Lucas Ocampos","Mid-Season","Midfielder","Argentina","Monaco","Marseille","Loan",0,"ROE","14/15"
"Modibo Maiga","Pre-Season","Attacker","Mali","West Ham","Metz","Loan",0,"ROE","14/15"
"Bernardo Silva","Pre-Season","Midfielder","Portugal","Benfica","Monaco","Loan",0,"ROE","14/15"
"Maarten Stekelenburg","Pre-Season","Goalkeeper","Netherlands","Fulham","Monaco","Loan",0,"ROE","14/15"
"Matheus","Mid-Season","Attacker","Brazil","Fluminense","Monaco","Loan",0,"ROE","14/15"
"Alain Traore","Mid-Season","Midfielder","Burkina Faso","Lorient","Monaco","Loan",0,"ROE","14/15"
"Lucas Barrios","Pre-Season","Attacker","Paraguay","Spartak Moscow","Montpellier","Loan",0,"ROE","14/15"
"Kostas Mitroglou","Pre-Season","Attacker","Greece","Fulham","Olympiakos","Loan",0,"ROE","14/15"
